date,equity,cash,position,close,ATR,DC_upper,DC_lower,DC_exit_lower,stock,code
2023-08-18,5551.36,5551.36,0,21.11,0.8451,24.12,20.05,20.05,ST人福,600079
2023-08-21,5551.36,5551.36,0,21.26,0.8358,24.12,20.05,20.05,ST人福,600079
2023-08-22,5551.36,5551.36,0,21.27,0.8255,24.12,20.05,20.05,ST人福,600079
2023-08-23,5551.36,5551.36,0,20.9,0.8108,24.11,20.05,20.74,ST人福,600079
2023-08-24,5551.36,5551.36,0,21.4,0.8172,23.76,20.05,20.74,ST人福,600079
2023-08-25,5551.36,5551.36,0,21.85,0.8394,23.51,20.05,20.55,ST人福,600079
2023-08-28,5551.36,5551.36,0,21.97,0.8764,23.47,20.05,20.55,ST人福,600079
2023-08-29,5551.36,5551.36,0,22.25,0.8741,23.27,20.05,20.55,ST人福,600079
2023-08-30,5551.36,5551.36,0,22.27,0.8639,23.27,20.05,20.55,ST人福,600079
2023-08-31,5551.36,5551.36,0,22.43,0.8447,23.27,20.05,20.55,ST人福,600079
2023-09-01,5551.36,5551.36,0,22.26,0.8269,23.27,20.05,20.55,ST人福,600079
2023-09-04,5551.36,5551.36,0,22.1,0.8176,23.27,20.05,20.55,ST人福,600079
2023-09-05,5551.36,5551.36,0,22.37,0.8087,23.27,20.05,20.55,ST人福,600079
2023-09-06,5551.36,5551.36,0,22.14,0.7903,23.27,20.55,20.55,ST人福,600079
2023-09-07,5551.36,5551.36,0,21.78,0.7913,23.27,20.55,20.55,ST人福,600079
2023-09-08,5551.36,5551.36,0,22.21,0.8047,23.27,20.55,21.14,ST人福,600079
2023-09-11,5551.36,5551.36,0,23.46,0.8415,23.27,20.55,21.59,ST人福,600079
2023-09-12,5551.36,5551.36,0,23.16,0.8299,23.75,20.55,21.59,ST人福,600079
2023-09-13,5551.36,5551.36,0,22.95,0.8239,23.75,20.55,21.59,ST人福,600079
2023-09-14,5551.36,5551.36,0,22.98,0.8127,23.75,20.55,21.59,ST人福,600079
2023-09-15,5551.36,5551.36,0,23.82,0.8236,23.75,20.55,21.59,ST人福,600079
2023-09-18,5551.36,5551.36,0,23.97,0.8134,24.01,20.55,21.59,ST人福,600079
2023-09-19,5551.36,5551.36,0,23.83,0.7987,24.14,20.55,21.59,ST人福,600079
2023-09-20,5551.36,5551.36,0,23.72,0.7828,24.14,20.55,21.59,ST人福,600079
2023-09-21,5551.36,5551.36,0,23.63,0.7621,24.14,20.55,21.59,ST人福,600079
2023-09-22,5551.36,5551.36,0,21.88,0.847,24.14,21.14,21.62,ST人福,600079
2023-09-25,5551.36,5551.36,0,22.59,0.8562,24.14,21.17,21.17,ST人福,600079
2023-09-26,5551.36,5551.36,0,22.65,0.8549,24.14,21.17,21.17,ST人福,600079
2023-09-27,5551.36,5551.36,0,22.99,0.8516,24.14,21.17,21.17,ST人福,600079
2023-09-28,5551.36,5551.36,0,23.26,0.8576,24.14,21.17,21.17,ST人福,600079
2023-10-09,5551.36,5551.36,0,22.68,0.8762,24.14,21.17,21.17,ST人福,600079
2023-10-10,5551.36,5551.36,0,22.51,0.8669,24.14,21.17,21.17,ST人福,600079
2023-10-11,5551.36,5551.36,0,22.79,0.8465,24.14,21.17,21.17,ST人福,600079
2023-10-12,5551.36,5551.36,0,22.45,0.8507,24.14,21.17,21.17,ST人福,600079
2023-10-13,5551.36,5551.36,0,22.47,0.8257,24.14,21.17,21.17,ST人福,600079
2023-10-16,5551.36,5551.36,0,22.26,0.8199,24.14,21.17,21.17,ST人福,600079
2023-10-17,5551.36,5551.36,0,23.02,0.8709,24.14,21.17,21.91,ST人福,600079
2023-10-18,5551.36,5551.36,0,22.09,0.8803,24.14,21.17,21.67,ST人福,600079
2023-10-19,5551.36,5551.36,0,21.9,0.8668,24.14,21.17,21.67,ST人福,600079
2023-10-20,5551.36,5551.36,0,21.41,0.863,24.14,21.17,21.57,ST人福,600079
2023-10-23,5551.36,5551.36,0,21.69,0.8813,24.14,21.17,21.28,ST人福,600079
