date,symbol,name,open,close,high,low,volume
2019-02-04,00719,新华制药H,3.94,3.97,4.01,3.88,34000.0
2019-02-08,00719,新华制药H,3.97,3.97,3.97,3.97,0.0
2019-02-11,00719,新华制药H,3.98,3.98,4.03,3.98,98600.0
2019-02-12,00719,新华制药H,4.0,4.03,4.1,3.97,762200.0
2019-02-13,00719,新华制药H,4.07,4.08,4.13,4.03,580600.0
2019-02-14,00719,新华制药H,4.07,4.07,4.13,4.05,348000.0
2019-02-15,00719,新华制药H,4.07,4.11,4.14,4.07,602000.0
2019-02-18,00719,新华制药H,4.1,4.27,4.28,4.1,1371600.0
2019-02-19,00719,新华制药H,4.28,4.22,4.28,4.18,386000.0
2019-02-20,00719,新华制药H,4.08,4.22,4.27,4.08,598400.0
2019-02-21,00719,新华制药H,4.22,4.23,4.3,4.16,420800.0
2019-02-22,00719,新华制药H,4.17,4.3,4.3,4.17,633400.0
2019-02-25,00719,新华制药H,4.23,4.45,4.46,4.23,1728400.0
2019-02-26,00719,新华制药H,4.45,4.48,4.56,4.45,388000.0
2019-02-27,00719,新华制药H,4.41,4.31,4.48,4.31,562000.0
2019-02-28,00719,新华制药H,4.31,4.32,4.42,4.3,486000.0
2019-03-01,00719,新华制药H,4.35,4.34,4.41,4.3,314000.0
2019-03-04,00719,新华制药H,4.42,4.45,4.49,4.42,494000.0
2019-03-05,00719,新华制药H,4.33,4.45,4.52,4.33,842000.0
2019-03-06,00719,新华制药H,4.53,4.5,4.58,4.45,1908700.0
2019-03-07,00719,新华制药H,4.56,4.48,4.56,4.48,480000.0
2019-03-08,00719,新华制药H,4.35,4.38,4.48,4.35,727800.0
2019-03-11,00719,新华制药H,4.31,4.44,4.52,4.31,359600.0
2019-03-12,00719,新华制药H,4.44,4.44,4.52,4.42,687400.0
2019-03-13,00719,新华制药H,4.46,4.46,4.5,4.46,117000.0
2019-03-14,00719,新华制药H,4.41,4.42,4.48,4.37,289600.0
2019-03-15,00719,新华制药H,4.42,4.39,4.51,4.39,704600.0
2019-03-18,00719,新华制药H,4.46,4.48,4.6,4.41,708400.0
2019-03-19,00719,新华制药H,4.48,4.48,4.51,4.43,193000.0
2019-03-20,00719,新华制药H,4.6,4.5,4.6,4.44,705500.0
2019-03-21,00719,新华制药H,4.44,4.48,4.63,4.44,712200.0
2019-03-22,00719,新华制药H,4.46,4.4,4.46,4.38,571200.0
2019-03-25,00719,新华制药H,4.48,4.34,4.48,4.32,274000.0
